code;variable;population;year;gender;level;group
4103206;10 a 14;222;2020;man;3;younger
4103206;15 a 19;222;2020;man;4;worker
4103206;20 a 24;288;2020;man;5;worker
4103206;25 a 29;284;2020;man;6;worker
4103206;30 a 34;260;2020;man;7;worker
4103206;35 a 39;250;2020;man;8;worker
4103206;40 a 44;242;2020;man;9;worker
4103206;45 a 49;233;2020;man;10;worker
4103206;50 a 54;259;2020;man;11;worker
4103206;55 a 59;222;2020;man;12;worker
4103206;60 a 64;165;2020;man;13;worker
4103206;> 65;340;2020;man;14;older
4103222;0 a 4;96;2020;man;1;younger
4103222;5 a 9;101;2020;man;2;younger
4103222;10 a 14;94;2020;man;3;younger
4103222;15 a 19;91;2020;man;4;worker
4103222;20 a 24;108;2020;man;5;worker
4103222;25 a 29;147;2020;man;6;worker
4103222;30 a 34;139;2020;man;7;worker
4103222;35 a 39;100;2020;man;8;worker
4103222;40 a 44;111;2020;man;9;worker
4103222;45 a 49;113;2020;man;10;worker
4103222;50 a 54;123;2020;man;11;worker
4103222;55 a 59;129;2020;man;12;worker
4103222;60 a 64;107;2020;man;13;worker
4103222;> 65;223;2020;man;14;older
4103305;0 a 4;207;2020;man;1;younger
4103305;5 a 9;216;2020;man;2;younger
4103305;10 a 14;216;2020;man;3;younger
4103305;15 a 19;190;2020;man;4;worker
4103305;20 a 24;242;2020;man;5;worker
4103305;25 a 29;319;2020;man;6;worker
4103305;30 a 34;299;2020;man;7;worker
4103305;35 a 39;276;2020;man;8;worker
4103305;40 a 44;267;2020;man;9;worker
4103305;45 a 49;299;2020;man;10;worker
4103305;50 a 54;298;2020;man;11;worker
4103305;55 a 59;315;2020;man;12;worker
4103305;60 a 64;262;2020;man;13;worker
4103305;> 65;627;2020;man;14;older
4103354;0 a 4;191;2020;man;1;younger
4103354;5 a 9;185;2020;man;2;younger
4103354;10 a 14;160;2020;man;3;younger
4103354;15 a 19;205;2020;man;4;worker
